ID,AltName,Age1,R_gc,X,Y,Z,v_r,+/-,v_gr,sig_v,[Fe/H],E(B-V),V_HB,(m-M)V,V_t,"M_V,t",U-B,B-V,V-R,V-I,ellip,L,B,Mstar,rh,C5
NGC6229,,,29.8,6.5,22.3,19.7,-154.2,7.6,-358.9909043,,-1.47,0.01,18.03,17.45,9.39,-8.06,-0.03,0.7,,1.01,0.05,73.64,40.31,,,
NGC6235,,,4.2,11.2,-0.2,2.7,87.3,3.4,103.6821174,,-1.28,0.31,16.87,16.26,9.97,-6.29,0.44,1.05,0.66,1.36,0.13,58.92,13.52,,,
NGC6254,M10,12.4,4.6,3.9,1.1,1.7,75.2,0.7,28.48424759,6.6,-1.56,0.28,14.65,14.08,6.6,-7.48,0.23,0.9,0.53,1.21,0,15.14,23.08,1.53,4.2,0.36
NGC6256,,,3,10,-2.2,0.6,-101.4,1.9,-43.36089283,6.6,-1.02,1.09,19.09,18.44,11.29,-7.15,1.03,1.69,,,,47.79,3.31,,,
NGC6266,,,1.7,6.7,-0.8,0.9,-70.1,1.4,-32.38597818,14.3,-1.18,0.47,16.25,15.63,6.45,-9.18,0.52,1.19,0.74,1.58,0.01,53.57,7.32,,,
NGC6273,,,1.7,8.7,-0.5,1.4,135,4.1,159.5946306,,-1.74,0.38,16.44,15.9,6.77,-9.13,0.35,1.03,0.66,1.35,0.27,56.87,9.38,,,
NGC6284,,,7.5,15,-0.4,2.6,27.5,1.7,45.48058245,6.3,-1.26,0.28,17.4,16.79,8.83,-7.96,0.4,0.99,0.65,1.31,0.03,58.35,9.94,,,
NGC6287,,,2.1,9.2,0,1.8,-288.7,3.5,-276.4144574,,-2.1,0.6,17.2,16.72,9.35,-7.36,0.52,1.2,0.83,1.74,0.13,0.13,11.02,,,
NGC6293,,,1.9,9.4,-0.4,1.3,-146.2,1.7,-124.95918,7.7,-1.99,0.36,16.5,16,8.22,-7.78,0.29,0.96,0.63,1.28,0.03,57.62,7.83,,,
NGC6304,NONE,13.6,2.3,5.8,-0.4,0.6,-107.3,3.6,-80.55374637,,-0.45,0.54,16.25,15.52,8.22,-7.3,0.82,1.31,0.77,1.7,0.02,55.83,5.38,2.17,4.14,0.52
NGC6316,,,2.6,10.4,-0.5,1,71.4,8.9,93.58937605,,-0.45,0.54,17.5,16.77,8.43,-8.34,0.62,1.39,0.85,1.8,0.04,57.18,5.76,,,
NGC6325,,,1.1,7.7,0.1,1.1,29.8,1.8,38.98334074,5.9,-1.25,0.91,17.9,17.29,10.33,-6.96,0.85,1.66,,2.15,0.12,0.97,8,,,
NGC6333,,,1.7,7.7,0.7,1.5,229.1,7,221.5975204,,-1.77,0.38,16.2,15.67,7.72,-7.95,0.32,0.97,0.63,1.33,0.04,5.54,10.71,,,
